Date,Open,High,Low,Close,Adj Close,Volume
2021-03-08,724.700012,736.950012,714.849976,724.000000,719.850281,81124
2021-03-09,734.000000,746.000000,732.349976,739.799988,735.559692,310372
2021-03-10,743.750000,745.650024,725.250000,731.299988,727.108459,60078
2021-03-12,744.750000,744.750000,709.549988,710.799988,706.725891,128839
2021-03-15,711.200012,715.000000,695.349976,704.049988,700.014648,169744
2021-03-16,707.000000,710.349976,701.099976,703.150024,699.119812,75528
2021-03-17,703.000000,706.099976,687.549988,689.200012,685.249756,118549
2021-03-18,695.000000,700.000000,675.000000,680.549988,676.649292,78605
2021-03-19,680.000000,690.349976,674.000000,688.450012,684.504089,115169
2021-03-22,686.000000,694.500000,678.000000,680.400024,676.500183,388302
2021-03-23,682.500000,689.349976,680.750000,683.700012,679.781311,102527
2021-03-24,680.000000,686.549988,675.299988,676.950012,673.070007,109258
2021-03-25,676.950012,677.000000,662.299988,667.849976,664.022095,211875
2021-03-26,670.549988,676.450012,666.599976,671.599976,667.750610,117769
2021-03-30,674.700012,691.000000,674.700012,687.700012,683.758362,73981
2021-03-31,689.950012,697.799988,681.400024,695.750000,691.762207,59067
2021-04-01,700.000000,704.000000,682.500000,690.799988,686.840576,79922
2021-04-05,698.950012,698.950012,676.400024,682.000000,678.091003,63362
2021-04-06,687.400024,700.700012,680.750000,697.250000,693.253601,51805
2021-04-07,702.000000,704.950012,695.150024,699.900024,695.888428,110239
2021-04-08,702.950012,705.799988,697.599976,701.250000,697.230713,179299
2021-04-09,705.000000,705.000000,690.400024,695.549988,691.563354,39401
2021-04-12,682.200012,689.900024,679.549988,687.049988,683.112061,231639
2021-04-13,682.000000,710.450012,682.000000,705.900024,701.854065,87004
2021-04-15,707.299988,712.700012,688.150024,694.099976,690.121643,82871
2021-04-16,695.900024,701.299988,689.049988,690.950012,686.989746,49708
2021-04-19,674.099976,684.000000,653.549988,666.150024,662.331848,213698
2021-04-20,671.400024,688.950012,670.250000,685.349976,681.421814,190650
2021-04-22,671.299988,682.849976,671.299988,678.900024,675.008850,225469
2021-04-23,678.000000,691.400024,676.750000,687.450012,683.509766,65964
2021-04-26,690.099976,708.500000,687.549988,704.750000,700.710632,231518
2021-04-27,710.000000,719.000000,677.099976,678.599976,674.710510,496631
2021-04-28,683.000000,683.049988,671.000000,672.900024,669.043213,168800
2021-04-29,675.250000,681.250000,672.200012,674.549988,670.683716,227443
2021-04-30,677.000000,677.950012,661.000000,665.200012,661.387329,105791
2021-05-03,659.500000,674.450012,657.000000,672.000000,668.148315,236510
2021-05-04,675.500000,680.950012,665.599976,667.950012,664.121582,195815
2021-05-05,670.299988,675.700012,667.000000,674.049988,670.186523,89412
2021-05-06,672.799988,680.000000,668.849976,671.599976,667.750610,48675
2021-05-07,672.500000,680.200012,671.500000,673.250000,669.391174,56734
2021-05-10,670.299988,685.799988,670.299988,680.000000,676.102539,297971
2021-05-11,679.349976,681.400024,670.000000,671.549988,667.700928,77985
2021-05-12,671.549988,673.049988,665.150024,668.750000,664.916992,178414
2021-05-14,673.599976,676.099976,666.900024,670.750000,666.905518,47584
2021-05-17,670.000000,675.200012,661.900024,666.349976,662.530701,1045484
2021-05-18,670.000000,672.849976,666.000000,667.049988,663.226685,108555
2021-05-19,670.000000,671.450012,665.099976,666.250000,662.431335,97020
2021-05-20,669.000000,678.900024,666.150024,667.599976,663.773560,266180
2021-05-21,670.900024,674.650024,667.299988,670.650024,666.806091,125730
2021-05-24,671.700012,673.000000,667.500000,670.400024,666.557495,58709
2021-05-25,673.000000,673.299988,657.299988,659.099976,655.322205,199722
2021-05-26,663.799988,666.299988,657.200012,658.549988,654.775452,79305
2021-05-27,660.000000,666.750000,657.250000,664.250000,660.442749,162586
2021-05-28,666.900024,674.200012,662.700012,668.650024,664.817566,269372
2021-05-31,669.750000,670.049988,662.549988,666.400024,662.580444,68247
2021-06-01,667.150024,671.000000,664.000000,665.450012,661.635864,117293
2021-06-02,665.000000,677.900024,663.000000,675.849976,671.976257,724402
2021-06-03,680.000000,683.000000,676.549988,678.599976,674.710510,102183
2021-06-04,680.000000,688.799988,677.349976,680.799988,676.897888,237193
2021-06-07,684.849976,684.849976,675.099976,680.500000,676.599609,71420
2021-06-08,684.450012,692.000000,681.150024,689.549988,685.597717,314604
2021-06-09,697.900024,697.900024,681.349976,684.650024,680.725830,94395
2021-06-10,688.000000,691.599976,684.549988,689.450012,685.498352,62436
2021-06-11,689.500000,690.000000,681.650024,682.599976,678.687561,115773
2021-06-14,680.000000,684.799988,674.000000,681.349976,677.444702,120702
2021-06-15,682.000000,694.000000,680.849976,692.700012,688.729675,63099
2021-06-16,694.099976,697.900024,690.000000,691.950012,687.984009,219878
2021-06-17,688.000000,703.799988,682.599976,700.099976,696.087219,121392
2021-06-18,700.000000,710.900024,693.000000,709.200012,705.135132,201899
2021-06-21,705.200012,719.650024,704.200012,718.349976,714.232605,325723
2021-06-22,720.000000,724.000000,713.299988,716.549988,712.442993,79530
2021-06-23,722.900024,723.549988,716.950012,717.549988,713.437256,55190
2021-06-24,718.000000,722.250000,712.299988,717.750000,713.636108,82100
2021-06-25,724.000000,731.250000,718.700012,725.549988,721.391418,87951
2021-06-28,730.000000,730.000000,693.950012,696.000000,692.010803,216847
2021-06-29,680.000000,702.200012,672.150024,686.349976,682.416016,110611355
2021-06-30,691.900024,695.900024,685.049988,686.400024,684.480347,123261
2021-07-01,689.950012,692.500000,683.000000,685.799988,683.881958,118521
2021-07-02,688.500000,690.000000,678.650024,687.049988,685.128479,183917
2021-07-05,691.700012,691.700012,676.700012,678.299988,676.402954,324652
2021-07-06,679.349976,686.099976,676.000000,679.900024,677.998474,915757
2021-07-07,679.900024,685.799988,678.099976,685.000000,683.084229,56074
2021-07-08,685.950012,689.299988,678.349976,681.250000,679.344727,68944
